Tecnica,Cenario,Janela,Precisao,Recall
SVM,Cenario 1,Janela 10,89.772,100
SVM,Cenario 1,Janela 50,89.772,100
SVM,Cenario 1,Janela 100,89.772,100
SVM,Cenario 2,Janela 10,92.471,100
SVM,Cenario 2,Janela 50,92.471,100
SVM,Cenario 2,Janela 100,92.471,100
SVM,Cenario 3,Janela 10,97.882,100
SVM,Cenario 3,Janela 50,97.882,100
SVM,Cenario 3,Janela 100,97.882,100
SVM,Cenario 4,Janela 10,98.568,100
SVM,Cenario 4,Janela 50,98.568,100
SVM,Cenario 4,Janela 100,98.568,100
EE,Cenario 1,Janela 10,89.791,91.680
EE,Cenario 1,Janela 50,89.758,90.960
EE,Cenario 1,Janela 100,89.768,91.951
EE,Cenario 2,Janela 10,97.055,96.003
EE,Cenario 2,Janela 50,97.733,97.531
EE,Cenario 2,Janela 100,98.332,97.691
EE,Cenario 3,Janela 10,97.862,91.604
EE,Cenario 3,Janela 50,97.876,91.748
EE,Cenario 3,Janela 100,97.887,92.518
EE,Cenario 4,Janela 10,98.572,91.200
EE,Cenario 4,Janela 50,98.557,92.350
EE,Cenario 4,Janela 100,98.567,91.620
LOF,Cenario 1,Janela 10,89.772,100
LOF,Cenario 1,Janela 50,89.775,87.372
LOF,Cenario 1,Janela 100,89.793,89.892
LOF,Cenario 2,Janela 10,92.471,100
LOF,Cenario 2,Janela 50,98.102,94.393
LOF,Cenario 2,Janela 100,98.475,95.367
LOF,Cenario 3,Janela 10,97.882,100
LOF,Cenario 3,Janela 50,97.889,88.484
LOF,Cenario 3,Janela 100,97.890,90.328
LOF,Cenario 4,Janela 10,98.568,100
LOF,Cenario 4,Janela 50,98.548,89.382
LOF,Cenario 4,Janela 100,98.562,89.180